UI_Number;Method;Bounds;Nonresponsive;Hidden;Dimensions
12740;instruction;0;0;0;NO
12740;pd_zs;0;0;0;NO
12740;pd_fs;1;1;0;NO
12740;ref_instruction;0;1;0;NO
14283;instruction;0;1;0;NO
14283;pd_zs;0;4;0;NO
14283;pd_fs;0;4;0;NO
14283;ref_instruction;0;2;0;NO
18782;instruction;0;0;0;NO
18782;pd_zs;0;2;0;NO
18782;pd_fs;0;2;0;NO
18782;ref_instruction;0;0;0;NO
20947;instruction;0;0;0;NO
20947;pd_zs;0;2;0;NO
20947;pd_fs;0;1;0;YES
20947;ref_instruction;0;0;0;NO
22151;instruction;0;0;0;NO
22151;pd_zs;0;0;0;NO
22151;pd_fs;0;1;0;NO
22151;ref_instruction;0;1;0;NO
27360;instruction;0;0;1;NO
27360;pd_zs;0;2;0;YES
27360;pd_fs;0;0;0;NO
27360;ref_instruction;0;0;2;NO
27382;instruction;0;0;1;NO
27382;pd_zs;0;3;0;NO
27382;pd_fs;0;0;0;NO
27382;ref_instruction;0;0;0;NO
27707;instruction;0;2;0;YES
27707;pd_zs;0;0;0;NO
27707;pd_fs;0;2;0;NO
27707;ref_instruction;0;0;0;NO
30982;instruction;0;0;0;NO
30982;pd_zs;0;1;0;NO
30982;pd_fs;0;2;0;NO
30982;ref_instruction;0;3;0;NO
31390;instruction;0;0;0;NO
31390;pd_zs;0;1;1;NO
31390;pd_fs;0;4;0;NO
31390;ref_instruction;0;0;0;NO
32310;instruction;0;0;0;NO
32310;pd_zs;0;0;0;NO
32310;pd_fs;0;3;0;NO
32310;ref_instruction;0;0;0;NO
3261;instruction;1;0;0;NO
3261;pd_zs;1;6;0;NO
3261;pd_fs;0;0;0;NO
3261;ref_instruction;0;3;0;NO
33383;instruction;0;0;0;NO
33383;pd_zs;0;2;0;NO
33383;pd_fs;0;1;0;NO
33383;ref_instruction;0;0;0;YES
34346;instruction;0;6;0;NO
34346;pd_zs;0;0;0;NO
34346;pd_fs;0;3;1;NO
34346;ref_instruction;0;3;1;NO
34517;instruction;1;0;0;NO
34517;pd_zs;0;2;0;NO
34517;pd_fs;1;1;1;NO
34517;ref_instruction;0;0;0;NO
34527;instruction;0;0;0;NO
34527;pd_zs;0;1;0;NO
34527;pd_fs;0;1;0;NO
34527;ref_instruction;0;3;0;NO
35526;instruction;0;3;0;NO
35526;pd_zs;0;1;1;NO
35526;pd_fs;0;4;0;NO
35526;ref_instruction;0;4;0;NO
3727;instruction;0;0;0;NO
3727;pd_zs;0;3;0;NO
3727;pd_fs;0;2;1;NO
3727;ref_instruction;0;0;0;NO
37505;instruction;0;2;0;NO
37505;pd_zs;1;0;0;NO
37505;pd_fs;0;3;0;NO
37505;ref_instruction;0;6;0;NO
38961;instruction;0;0;0;NO
38961;pd_zs;0;0;0;NO
38961;pd_fs;0;2;0;NO
38961;ref_instruction;0;0;0;NO
40673;instruction;1;0;0;YES
40673;pd_zs;0;0;0;YES
40673;pd_fs;0;1;1;NO
40673;ref_instruction;0;1;0;NO
43872;instruction;0;4;0;NO
43872;pd_zs;0;2;0;YES
43872;pd_fs;0;4;0;NO
43872;ref_instruction;0;0;0;NO
43977;instruction;0;2;0;NO
43977;pd_zs;0;4;0;NO
43977;pd_fs;0;2;0;NO
43977;ref_instruction;0;0;0;NO
44756;instruction;0;0;0;NO
44756;pd_zs;0;1;0;NO
44756;pd_fs;0;1;0;NO
44756;ref_instruction;0;0;0;NO
47926;instruction;0;0;0;NO
47926;pd_zs;0;1;0;YES
47926;pd_fs;0;0;0;NO
47926;ref_instruction;0;0;0;NO
49794;instruction;0;0;0;NO
49794;pd_zs;1;0;0;NO
49794;pd_fs;0;3;0;NO
49794;ref_instruction;0;0;0;NO
53054;instruction;1;1;1;NO
53054;pd_zs;0;3;0;NO
53054;pd_fs;0;11;0;NO
53054;ref_instruction;0;0;0;NO
53469;instruction;0;2;0;NO
53469;pd_zs;0;3;0;NO
53469;pd_fs;0;0;0;NO
53469;ref_instruction;0;2;0;NO
54377;instruction;0;0;0;NO
54377;pd_zs;1;2;0;NO
54377;pd_fs;0;0;0;NO
54377;ref_instruction;0;3;0;NO
54468;instruction;0;2;0;NO
54468;pd_zs;0;3;0;NO
54468;pd_fs;0;0;1;NO
54468;ref_instruction;0;3;0;NO
56905;instruction;0;1;0;NO
56905;pd_zs;1;3;1;NO
56905;pd_fs;0;3;0;NO
56905;ref_instruction;2;3;0;YES
58124;instruction;0;0;0;NO
58124;pd_zs;0;3;0;NO
58124;pd_fs;0;1;0;NO
58124;ref_instruction;0;0;0;NO
59429;instruction;0;0;0;NO
59429;pd_zs;0;0;0;NO
59429;pd_fs;0;1;0;NO
59429;ref_instruction;0;0;0;NO
59576;instruction;0;0;0;NO
59576;pd_zs;0;0;0;NO
59576;pd_fs;0;1;0;NO
